,month,type,loss,type_jp,交通機関
1,4,Taxi,0.355,タクシー,タクシー
2,5,Taxi,0.309,タクシー,タクシー
3,6,Taxi,0.594,タクシー,タクシー
4,7,Taxi,0.558,タクシー,タクシー
5,8,Taxi,0.577,タクシー,タクシー
6,9,Taxi,0.38,タクシー,タクシー
7,10,Taxi,0.749,タクシー,タクシー
8,11,Taxi,0.698,タクシー,タクシー
9,12,Taxi,0.649,タクシー,タクシー
10,4,Bus_general,0.328,バス（在来線）,バス（在来線）
11,5,Bus_general,0.3,バス（在来線）,バス（在来線）
12,6,Bus_general,0.715,バス（在来線）,バス（在来線）
13,7,Bus_general,0.747,バス（在来線）,バス（在来線）
14,8,Bus_general,0.728,バス（在来線）,バス（在来線）
15,9,Bus_general,0.779,バス（在来線）,バス（在来線）
16,10,Bus_general,0.812,バス（在来線）,バス（在来線）
17,11,Bus_general,0.779,バス（在来線）,バス（在来線）
18,12,Bus_general,0.774,バス（在来線）,バス（在来線）
19,4,Aviation_domestic,0.14,旅客機(国内線),旅客機(国内線)
20,5,Aviation_domestic,0.07,旅客機(国内線),旅客機(国内線)
21,6,Aviation_domestic,0.22,旅客機(国内線),旅客機(国内線)
22,7,Aviation_domestic,0.33,旅客機(国内線),旅客機(国内線)
23,8,Aviation_domestic,0.3,旅客機(国内線),旅客機(国内線)
24,9,Aviation_domestic,0.37,旅客機(国内線),旅客機(国内線)
25,10,Aviation_domestic,0.49,旅客機(国内線),旅客機(国内線)
26,11,Aviation_domestic,0.56,旅客機(国内線),旅客機(国内線)
27,12,Aviation_domestic,0.45,旅客機(国内線),旅客機(国内線)