,country_name,year,v2x_polyarchy,v2mecenefm,v2exl_legitideol,v2cvgovres_0,v2cvgovres_1,v2cvgovres_2,v2cvgovres_3,v2cvgovres_4,v2cvgovres_5,v2cvgovres_6,v2cvgovres_nr
188,Russia,2020,0.261,-1.648,0.907,0.929,0.929,0.5,0.429,0.286,0,0,14
189,Albania,2020,0.501,-0.393,-0.492,0.778,0.889,0.333,0.333,0.444,0,0.111,9
190,Egypt,2020,0.181,-1.422,0.29,0.889,0.889,0.444,0.444,0.444,0,0.111,9
191,Yemen,2020,0.111,-2.174,1.841,0.5,0.333,0.083,0.167,0.167,0.5,0,12
192,Colombia,2020,0.609,0.969,1.411,0.895,0.789,0,0.158,0.632,0,0.053,19
193,Poland,2020,0.632,0.344,0.476,0.944,0.944,0.056,0.278,0.444,0,0,18
194,Brazil,2020,0.69,0.241,1.203,0.571,0.357,0.143,0.071,0.286,0.357,0,14
195,United States of America,2020,0.815,1.741,1.48,0.7,0.7,0.2,0.5,0.3,0.2,0,10
196,Portugal,2020,0.876,2.625,-2.471,1,0.882,0,0.059,0.294,0,0,17
197,El Salvador,2020,0.586,-0.643,-0.82,0.75,0.75,0.125,0.375,0.5,0.125,0.125,8
198,Bangladesh,2020,0.273,0.305,1.462,0.857,0.714,0.143,0.571,0.143,0.143,0,7
199,Bolivia,2020,0.324,0.621,0.286,0.769,0.692,0.077,0.308,0.231,0.077,0.154,13
200,Haiti,2020,0.393,0.408,-1.42,0.429,0.286,0,0.286,0,0.429,0.143,7
201,Honduras,2020,0.37,0.569,-0.684,1,1,0.429,0.429,0.571,0,0,7
202,Mali,2020,0.465,0.914,-0.715,0.667,0.667,0.333,0,0,0,0,3
203,Pakistan,2020,0.368,0.592,0.312,0.5,0.643,0,0.214,0.143,0.214,0,14
204,Peru,2020,0.803,2.199,-1.536,0.923,0.769,0,0.154,0.308,0.077,0,13
205,Senegal,2020,0.747,2.19,0.196,1,1,0,0,0.667,0,0,6
206,South Sudan,2020,0.191,-2.635,-0.995,1,1,0.5,1,0.5,0,0,2
207,Sudan,2020,0.188,-0.181,-0.385,1,1,0,0,0,0,0,2
208,Vietnam,2020,0.218,-1.327,1.344,0.889,0.889,0.444,0.556,0.444,0.222,0,9
209,Afghanistan,2020,0.366,1.149,-1.296,0.5,0.5,0,0.167,0,0.5,0,6
210,Argentina,2020,0.831,2.524,-0.374,0.857,0.786,0,0.143,0.214,0.071,0.071,14
211,Ethiopia,2020,0.335,1.592,0.561,1,1,1,0.667,0.667,0.333,0,3
212,India,2020,0.45,-0.254,1.211,0.667,0.667,0.4,0.4,0.333,0.2,0,15
213,Kenya,2020,0.461,1.053,-0.69,0.778,0.778,0,0.556,0.222,0,0.222,9
214,North Korea,2020,0.09,-2.672,2.833,0.75,0.25,0,0,0,0.125,0.125,8
215,South Korea,2020,0.859,2.738,-1.603,0.571,0.857,0,0.286,0.071,0.071,0.071,14
216,Kosovo,2020,0.611,2.731,-0.67,0.857,0.429,0,0.143,0,0.143,0,7
217,Lebanon,2020,0.458,0.473,-0.27,0.8,0.8,0,0.4,0.2,0.2,0,5
218,Nigeria,2020,0.537,1.598,0.228,0.917,0.917,0.333,0.583,0.417,0.167,0,12
219,Philippines,2020,0.433,0.098,-0.841,1,0.857,0.286,0.714,0.286,0,0,7
220,Tanzania,2020,0.409,-0.077,0.298,0.5,0.5,0.5,0.5,0,0.5,0,2
221,Taiwan,2020,0.817,1.135,-1.341,0.769,0.692,0.154,0.154,0.308,0.154,0,13
222,Thailand,2020,0.194,-0.648,0.625,0.9,0.9,0.4,0.8,0.5,0,0.1,10
223,Uganda,2020,0.31,0.267,0.257,1,1,0.571,1,0.429,0,0,7
224,Venezuela,2020,0.209,-1.92,2.839,0.952,0.857,0.571,0.476,0.238,0.048,0.048,21
225,Benin,2020,0.439,0.647,-0.827,1,1,0.1,0.3,0.1,0.1,0,10
226,Bhutan,2020,0.537,1.206,0.348,0.875,0.625,0,0.375,0,0,0.125,8
227,Burkina Faso,2020,0.705,1.726,-0.728,0.833,0.833,0.167,0,0,0.167,0,6
228,Cambodia,2020,0.196,-1.438,0.057,0.6,1,1,0.6,0.4,0,0,5
229,Indonesia,2020,0.608,0.76,-0.09,1,0.75,0.188,0.375,0.188,0,0,16
230,Mozambique,2020,0.372,-0.114,-0.252,0.75,0.875,0.125,0.125,0.125,0.125,0,8
231,Nepal,2020,0.573,1.298,0.131,0.778,0.444,0.222,0.333,0.333,0.222,0,9
232,Nicaragua,2020,0.251,-1.317,1.263,0.4,0.2,0.4,0.2,0.2,0.4,0,5
233,Niger,2020,0.521,1.159,-0.977,0.714,1,0.143,0.571,0.143,0,0,7
234,Zambia,2020,0.339,-0.979,-0.397,0.714,0.857,0.286,0.714,0,0,0,7
235,Zimbabwe,2020,0.288,-0.359,0.585,1,1,0.6,1,0.8,0,0,10
236,Guinea,2020,0.332,0.525,-0.411,0.8,0.6,0.2,0,0,0,0,5
237,Ivory Coast,2020,0.511,0.104,-0.954,0.778,0.889,0,0.111,0.111,0,0,9
238,Mauritania,2020,0.401,0.971,-0.903,1,1,0,0,0,0,0,5
239,Canada,2020,0.869,3.107,-1.119,0.75,0.75,0,0,0.25,0.25,0,4
240,Australia,2020,0.836,2.552,-1.556,1,1,0,0.2,0.2,0,0,5
241,Botswana,2020,0.603,1.786,-1.218,1,0.857,0.143,0.571,0.143,0,0,7
242,Burundi,2020,0.169,-2.209,-1.298,0.333,0.444,0,0.222,0,0.444,0.111,9
243,Cape Verde,2020,0.776,0.925,-1.965,0.714,0.429,0,0.286,0.143,0,0,7
244,Central African Republic,2020,0.379,0.134,0.471,1,1,0.2,0.6,0,0,0,5
245,Chile,2020,0.814,1.056,-0.815,0.944,0.944,0.111,0.444,0.222,0,0,18
246,Costa Rica,2020,0.899,1.973,-1.05,1,0.625,0,0.125,0.25,0,0,8
247,Timor-Leste,2020,0.66,0.269,0.13,1,0.571,0,0.143,0,0,0,7
248,Ecuador,2020,0.638,2.317,-1.881,0.846,0.923,0,0.385,0.154,0,0.077,13
249,France,2020,0.877,2.557,-1.319,0.889,0.778,0,0.111,0.333,0,0.111,9
250,Germany,2020,0.879,2.78,-2.168,0.833,0.75,0,0.417,0.083,0.083,0,12
251,Guatemala,2020,0.58,1.538,0.249,0.909,0.818,0.182,0.727,0.182,0,0.091,11
252,Iran,2020,0.191,-1.304,2.572,0.4,0,0,0,0.2,0.4,0,5
253,Iraq,2020,0.365,0.214,0.93,0.667,1,0.111,0.333,0.222,0.111,0,9
254,Ireland,2020,0.881,2.878,-1.749,1,0.7,0,0.3,0.2,0,0,10
255,Italy,2020,0.861,2.783,-1.338,1,0.9,0,0.1,0.5,0,0,10
256,Jordan,2020,0.268,-0.808,-0.332,1,1,0.571,0.857,0.571,0,0,7
257,Latvia,2020,0.821,2.677,-0.597,0.917,0.75,0,0.417,0.167,0,0,12
258,Lesotho,2020,0.631,0.657,-0.938,1,1,0,0.667,0.333,0,0,3
259,Liberia,2020,0.628,0.578,NA,1,1,0.333,0.667,0,0,0,3
260,Malawi,2020,0.528,0.528,-1.381,0.9,0.8,0.1,0.5,0.5,0.1,0,10
261,Maldives,2020,0.583,1.074,0.965,0.8,1,0,0.6,0,0,0,5
262,Mongolia,2020,0.634,1.723,-1.146,1,1,0.333,0.5,0.167,0.167,0,6
263,Morocco,2020,0.284,-0.205,0.078,0.667,1,0.667,0.667,0.667,0.333,0,3
264,Netherlands,2020,0.87,2.714,-2.07,0.857,0.786,0,0.143,0.286,0.071,0,14
265,Panama,2020,0.749,1.003,-0.957,0.667,0.667,0.167,0.333,0.333,0,0.167,6
266,Papua New Guinea,2020,0.422,0.918,-1.841,1,1,0.25,0.5,0.5,0,0,4
267,Qatar,2020,0.08,-0.979,1.451,1,1,0.333,0,0,0,0,3
268,Sierra Leone,2020,0.574,1.879,-1.223,1,0.8,0,0.4,0.4,0,0,5
269,Spain,2020,0.886,2.092,-1.655,0.947,0.789,0.263,0.158,0.526,0.053,0,19
270,Syria,2020,0.139,-2.763,1.675,0.625,0.625,0.375,0.375,0.375,0.125,0.25,8
271,Tunisia,2020,0.727,1.774,-1.118,0.8,0.9,0,0.1,0.5,0.1,0,10
272,Turkey,2020,0.286,-1.001,1.576,0.909,0.727,0.591,0.5,0.227,0.045,0.045,22
273,Ukraine,2020,0.544,1.11,-0.401,0.929,0.857,0.143,0.143,0.143,0.071,0,14
274,United Kingdom,2020,0.872,2.897,-0.887,1,1,0,0.556,0.889,0,0,9
275,Uruguay,2020,0.865,2.01,-1.849,0.533,0.867,0,0.2,0.133,0,0,15
276,Algeria,2020,0.277,-1.518,0.915,0.889,0.889,0.556,0.556,0.222,0,0.111,9
277,Angola,2020,0.346,0.285,0.203,0.875,0.75,0,0.375,0.5,0,0,8
278,Armenia,2020,0.786,0.936,-1.75,0.875,0.875,0.875,0.5,0.25,0,0,8
279,Azerbaijan,2020,0.201,-1.876,0.606,1,0.917,0.25,0.5,0.25,0.083,0,12
280,Belarus,2020,0.236,-2.15,1.551,0.778,0.778,0.333,0.444,0.333,0.222,0,9
281,Cameroon,2020,0.297,0.001,0.58,0.667,0.889,0,0.444,0,0.111,0,9
282,Chad,2020,0.268,-1.783,-0.987,1,1,0.333,0.667,0,0,0,3
283,China,2020,0.075,-1.968,2.319,0.957,0.826,0.826,0.739,0.217,0,0,23
284,Democratic Republic of the Congo,2020,0.359,-0.47,-1.557,0.8,0.8,0.4,0.6,0.4,0,0.2,5
285,Republic of the Congo,2020,0.248,-1.631,-1.62,1,1,0.5,0.5,0,0.5,0,2
286,Djibouti,2020,0.256,-0.816,-0.592,0.5,0.5,0.5,0,0,0,0,2
287,Dominican Republic,2020,0.594,1.819,-2.32,0.667,0.667,0,0.167,0,0.167,0,6
288,Eritrea,2020,0.07,-2.542,1.746,0.778,0.667,0.111,0.444,0.222,0,0.111,9
289,Gabon,2020,0.38,0.173,-0.221,1,1,0,0,1,0,0,1
290,The Gambia,2020,0.504,1.163,-0.559,0.714,0.714,0,0.571,0,0,0.143,7
291,Georgia,2020,0.643,1.33,-2.054,1,0.846,0,0.231,0.308,0,0,13
292,Guinea-Bissau,2020,0.536,0.171,-1.137,0.667,0.333,0.333,0,0,0.333,0.333,3
293,Jamaica,2020,0.808,2.178,0.517,1,1,0.125,0.5,0.75,0.125,0,8
294,Kazakhstan,2020,0.24,-1.338,-0.639,0.857,0.714,0.143,0.286,0.143,0,0,7
295,Kyrgyzstan,2020,0.399,0.451,-0.401,0.8,0.8,0.4,0.2,0.3,0.1,0,10
296,Laos,2020,0.121,-1.663,1.283,0.857,0.429,0.286,0.286,0,0,0,7
297,Libya,2020,0.272,1.119,-0.963,1,0.75,0,0.75,0,0,0,4
298,Madagascar,2020,0.487,1.156,-1.327,0.857,0.857,0.714,0.286,0.286,0,0,7
299,Moldova,2020,0.623,1.334,-0.004,1,0.75,0.25,0,0,0,0,4
300,Namibia,2020,0.648,0.947,0.209,1,1,0.2,0,0.2,0,0,5
301,Palestine/West Bank,2020,0.256,-0.513,-1.174,1,1,0,0,0,0,0,1
302,Rwanda,2020,0.212,0.264,1.846,0.857,0.714,0.429,0.714,0.286,0.143,0,7
303,Somalia,2020,0.159,0.279,-0.818,0.6,0.4,0,0.2,0.2,0.2,0,5
304,Sri Lanka,2020,0.606,0.101,2.487,0.875,0.875,0.25,0.75,0.375,0,0,8
305,Eswatini,2020,0.135,-1.288,3.107,1,0.833,0.333,0.667,0.5,0,0,6
306,Tajikistan,2020,0.177,-1.952,1.4,0.5,1,0.5,0.5,0,0,0,2
307,Togo,2020,0.418,1.037,-1.41,1,0.857,0.143,0.714,0.143,0,0,7
308,Trinidad and Tobago,2020,0.755,1.76,-1.499,1,0.833,0,0.667,0.5,0,0,6
309,Turkmenistan,2020,0.152,-2.613,2.07,0.333,0.167,0.167,0.167,0,0.667,0,6
310,Palestine/Gaza,2020,0.141,-0.888,0.318,0.5,0.333,0.333,0.333,0,0.333,0.167,6
311,Somaliland,2020,0.4,0.542,0.473,0.667,0.667,0,0.333,0.333,0,0,3
312,Uzbekistan,2020,0.227,-0.888,0.374,0.667,0.5,0.5,0.167,0.167,0.167,0.167,6
313,Austria,2020,0.842,2.511,-1.336,1,0.8,0,0.6,0.4,0,0,10
314,Bahrain,2020,0.118,-2.305,1.373,0.667,0.333,0.333,0.333,0,0.333,0,3
315,Barbados,2020,0.798,1.75,0.311,1,1,0.286,0.571,0.429,0,0,7
316,Belgium,2020,0.887,3.511,-2.361,1,0.857,0,0,0.429,0,0,7
317,Bosnia and Herzegovina,2020,0.545,0.724,2.017,0.889,0.778,0.222,0.222,0.444,0.111,0,9
318,Bulgaria,2020,0.603,0.838,-1.464,0.933,0.6,0.133,0.133,0.2,0,0,15
319,Comoros,2020,0.36,0.343,0.732,1,1,0,0.5,0,0,0,4
320,Croatia,2020,0.753,0.864,0.42,0.947,0.842,0,0.105,0.368,0,0,19
321,Cuba,2020,0.184,-1.848,3.38,1,0.833,0.167,0.333,0.167,0.167,0,6
322,Cyprus,2020,0.825,0.895,NA,1,1,0,0.2,0.2,0,0,5
323,Czech Republic,2020,0.805,1.222,-2.345,1,1,0,0.444,0.556,0,0,18
324,Denmark,2020,0.91,3.306,-1.946,0.833,0.833,0,0.167,0.417,0,0,12
325,Equatorial Guinea,2020,0.179,-1.136,0.718,0.833,0.833,0.5,0.5,0.167,0.167,0,6
326,Estonia,2020,0.89,3.3,-0.953,0.7,0.6,0,0.2,0.2,0.2,0.1,10
327,Fiji,2020,0.418,0.094,0.627,1,1,0.2,0.6,0.4,0,0,5
328,Finland,2020,0.878,2.877,-1.802,1,0.857,0,0.143,0.286,0,0,14
329,Greece,2020,0.843,0.935,NA,1,0.667,0.167,0.167,0.167,0,0,6
330,Guyana,2020,0.556,0.82,-0.825,0.5,0.25,0,0.125,0,0.25,0.125,8
331,Hong Kong,2020,0.306,-0.154,1.225,0.917,0.917,0,0.583,0.583,0,0,12
332,Iceland,2020,0.854,2.897,-1.147,0.636,0.636,0.091,0.273,0.455,0.273,0,11
333,Israel,2020,0.737,0.549,0.72,1,1,0,0,0,0,0,3
334,Kuwait,2020,0.317,0.17,0.103,1,0.571,0.143,0.429,0.286,0,0,7
335,Lithuania,2020,0.821,2.297,-1.852,1,0.769,0,0.077,0.231,0,0,13
336,Luxembourg,2020,0.869,2.992,-2.799,1,1,0,0.5,1,0,0,2
337,North Macedonia,2020,0.633,1.08,-0.448,0.889,0.778,0,0.333,0.444,0.111,0,9
338,Malaysia,2020,0.4,0.113,2.319,1,1,0.167,0.333,0.833,0,0,6
339,Malta,2020,0.772,1.481,-0.291,0.333,0.5,0,0,0.167,0.333,0,6
340,Mauritius,2020,0.625,0.722,0.589,0.833,0.833,0.167,0.667,0.667,0.167,0,6
341,Montenegro,2020,0.454,0.333,0.757,1,0.875,0.5,0.375,0.25,0,0,8
342,New Zealand,2020,0.894,2.76,-0.267,1,0.923,0.077,0.615,0.231,0,0,13
343,Norway,2020,0.899,2.538,-1.193,1,1,0,0,0.571,0,0,7
344,Oman,2020,0.176,-0.933,0.83,0.5,0,0.5,0,0,0.5,0,2
345,Paraguay,2020,0.581,1.575,-0.965,0.917,0.917,0,0,0.083,0,0,12
346,Romania,2020,0.76,2.067,-2.554,0.909,0.909,0.455,0.182,0.273,0,0,11
347,Sao Tome and Principe,2020,0.695,1.375,-0.998,1,0.8,0.2,0.6,0.4,0.2,0.2,5
348,Saudi Arabia,2020,0.016,-1.606,1.295,0.571,0.571,0.286,0.286,0.143,0.286,0.143,7
349,Serbia,2020,0.342,-1.112,1.182,0.917,0.667,0.5,0.167,0.583,0,0.083,12
350,Seychelles,2020,0.574,0.51,-0.867,1,1,0,0,0,0,0,1
351,Singapore,2020,0.389,-1.068,0.502,0.857,0.714,0.143,0.286,0.429,0,0.143,7
352,Slovakia,2020,0.836,2.615,-2.03,0.846,0.692,0,0.154,0.692,0,0.077,13
353,Slovenia,2020,0.748,-0.146,1.13,1,1,0.222,0.556,0.556,0,0,9
354,Solomon Islands,2020,0.648,1.09,-2.009,1,0.667,0.667,0.333,1,0,0,3
355,Vanuatu,2020,0.745,-0.112,NA,1,1,1,0,1,0,0,1
356,United Arab Emirates,2020,0.1,-1.354,1.537,1,0,0.333,0.333,0,0,0,3
357,Hungary,2020,0.467,0.145,1.055,1,1,0.556,0.444,0.889,0,0,18
358,Zanzibar,2020,0.253,-0.906,0.979,0.375,0.375,0.125,0.25,0.125,0.625,0,8